ccaa,centil_hijo_loess
CataluÃ±a,54.53267772895142
AragÃ³n,53.611168123268975
"Rioja, La",52.26429740390724
"Madrid, Comunidad de",51.525951316842
"Balears, Illes",51.43514630712429
Castilla y LeÃ³n,48.55616356993866
Castilla - La Mancha,48.269473740692064
Cantabria,47.294486836461516
Galicia,45.65694734548401
"Asturias, Principado de",44.836450964893515
Comunitat Valenciana,44.26266339103828
"Murcia, RegiÃ³n de",43.83130800296368
Extremadura,40.21112005717551
Canarias,40.17135646220216
AndalucÃ­a,39.04138445927376
